step,distance,time,height,pace,step_length,range
27.0,2527.0930188509064,30.96390390396118,171,0.8719830704727745,93.59603773521876,3
26.0,2182.9549601340427,30.966965913772583,171,0.8396043730082217,83.95980615900164,3
26.0,2491.266894093311,30.963515996932983,171,0.839697920693999,95.81795746512734,3
26.0,2440.166240827274,30.95671892166135,171,0.8398822906844632,93.85254772412593,3
26.0,2432.0990305716705,30.963616132736206,171,0.839695205125333,93.54227040660271,3
26.0,2639.2554868765465,30.956971168518066,171,0.8398754470670213,101.50982641832871,3
26.0,2552.509577519781,30.95860195159912,171,0.8398312055773245,98.17344528922234,3
26.0,3121.576726072975,30.92936992645258,171,0.8406249484495092,120.06064331049903,3
27.0,3215.17479515644,30.934159994125366,171,0.8728215023497489,119.08054796875703,3
26.0,2687.578030513973,30.93107509613037,171,0.8405786064401211,103.36838578899895,3
26.0,3237.770094968325,30.945218086242676,171,0.8401944341623118,124.52961903724326,3
27.0,3581.597826163166,30.95097279548645,171,0.872347379140774,132.65177133937652,3
27.0,3094.548260630764,30.974617958068848,171,0.8716814533935692,114.61289854188016,3
27.0,3031.948609730115,30.972847938537598,171,0.8717312677729442,112.29439295296723,3
27.0,2343.1651508407517,30.95927882194519,171,0.87211333814602,86.7838944755834,3
27.0,3029.2858881493357,30.97152018547058,171,0.8717686390048847,112.19577363516058,3
27.0,3163.3391912688185,30.964300155639535,171,0.8719719116623562,117.16071078773402,3
27.0,2728.0488448443175,30.964393138885498,171,0.8719692932103048,101.03884610534509,3
27.0,3171.370958224865,30.958466053009033,171,0.8721362341974211,117.45818363795796,3
26.0,2922.643397221539,30.97149109840393,171,0.8394817000380027,112.40936143159766,3
23.0,1011.4053996597422,28.27837491035462,170,0.8133423534029938,43.97414781129314,2
23.0,1006.1782999185339,28.274971961975083,170,0.813440240751821,43.746882605153644,2
24.0,991.8347121869909,28.27129793167113,170,0.8489175154959484,41.32644634112462,2
25.0,946.4523853490847,28.26837110519405,170,0.8843806354093916,37.85809541396339,2
24.0,952.357180544996,28.298421859741183,170,0.8481038313356851,39.681549189374834,2
24.0,1043.636460230308,28.26627016067502,170,0.8490685139417369,43.48485250959617,2
25.0,1191.552000257876,28.274501085281344,170,0.8841888995528226,47.66208001031504,2
25.0,1217.13376106187,28.272753000259343,170,0.8842435683490277,48.6853504424748,2
24.0,1327.5469794256828,28.26866722106928,170,0.8489965166137106,55.31445747607012,2
24.0,1078.003968808803,28.29691600799555,170,0.8481489641209871,44.916832033700125,2
21.0,682.2827288996716,28.442999999999998,168,0.7383187427486553,32.48965375712722,2
20.0,599.2895955702272,28.412999999999997,168,0.7039031429275332,29.96447977851136,2
24.0,900.9303336661707,28.735466957092285,169,0.835204802338404,37.53876390275711,2
25.0,1228.1946185105824,28.716035842895508,169,0.8705937036983162,49.127784740423294,2
23.0,3359.3214019642664,28.740657091140775,169,0.8002600611065946,146.05745225931594,2
22.0,3627.54537246758,28.75547170639038,169,0.7650717826726139,164.88842602125362,2
22.0,1611.5525466300628,28.740002870559664,169,0.7654835700290098,73.25238848318467,2
22.0,1244.1438087354377,28.732455015182524,169,0.7656846582853771,56.55199130615626,2
22.0,1716.9917725114356,28.715098857879724,169,0.7661474581329177,78.04508056870162,2
24.0,1945.4814555836024,28.751866817474365,169,0.8347284074581777,81.06172731598343,2
23.0,909.9587490649938,28.755502223968506,169,0.7998469239333564,39.563423872391034,2
24.0,868.1618954787535,28.7392840385437,169,0.8350938724782563,36.17341231161473,2
25.0,962.5206364148569,28.730961799621582,169,0.8701414235401363,38.50082545659428,2
24.0,1067.4713222258633,28.714326143264714,169,0.8358197187096269,44.47797175941097,2
23.0,821.2111883783051,28.738126039505005,169,0.8003305423736724,35.704834277317616,2
23.0,1374.3916393337536,28.75528883934021,169,0.799852859364557,59.756158231902326,2
25.0,2116.7021833844524,28.730462074279785,169,0.8701565584070649,84.66808733537809,2
25.0,1322.6955541108737,28.73153495788563,169,0.8701240653047159,52.90782216443495,2
24.0,1405.9470386018347,28.713410854339713,169,0.8358463618881651,58.58112660840978,2
22.0,3028.419123375178,28.739928960799944,169,0.7654855386040472,137.65541469887174,2
27.0,760.5576414781501,28.79576492309569,165,0.9376378808518682,28.168801536227782,2
28.0,993.8154595361304,28.823744058608995,165,0.9714213373205776,35.49340926914751,2
27.0,884.0152518736979,28.817012071609497,165,0.9369465485493683,32.74130562495178,2
28.0,964.1420130535255,28.81717395782468,165,0.9716428141419886,34.4336433233402,2
28.0,852.6135862078024,28.816598892211914,165,0.9716622042987657,30.45048522170723,2
27.0,739.6958615031954,28.7953968048096,165,0.9376498675472421,27.396143018636867,2
27.0,781.6237165887133,28.82613706588745,165,0.9366499554999868,28.949026540322713,2
27.0,648.6779535800238,28.81632423400879,165,0.9369689132014563,24.025109391852734,2
27.0,798.614313632736,28.816338062286377,165,0.9369684635722842,29.578307912323552,2
27.0,725.4227881759164,28.81638813018793,165,0.9369668356082042,26.86751067318209,2
27.0,533.9359324991929,28.79414510726923,165,0.9376906277097183,19.775404907377514,2
26.0,601.9535071099585,28.82415604591364,165,0.9020212060531771,23.152057965767636,2
26.0,668.200695339463,28.816723823547363,165,0.9022538495078438,25.7000267438255,2
26.0,737.7913447056435,28.81642508506775,165,0.9022632031296908,28.376590180986287,2
27.0,902.1606378118078,28.816684961319027,165,0.9369571842230435,33.41335695599288,2
27.0,1078.9429621255942,28.79394602775568,165,0.9376971108431467,39.960850449096085,2
28.0,1025.352018573014,28.823523998260498,165,0.9714287538779021,36.619714949036215,2
